station,date,sst_c,slp_hpa,u10_ms,v10_ms
Wat Khun Samut Chin,1995-05-01,30.938385,1007.73938,0.473844,2.581947
Wat Khun Samut Chin,1995-06-01,30.298981,1006.447205,1.591042,2.55098
Wat Khun Samut Chin,1995-07-01,29.149078,1006.6297,1.302841,2.621387
Wat Khun Samut Chin,1995-08-01,28.680328,1006.772217,1.182565,2.303025
Wat Khun Samut Chin,1995-09-01,28.790924,1008.188416,0.673413,0.891055
Wat Khun Samut Chin,1995-10-01,28.924225,1009.17218,-0.084999,-1.035275
Wat Khun Samut Chin,1995-11-01,28.279694,1011.128723,-1.222214,-1.795734
Wat Khun Samut Chin,1995-12-01,26.595856,1014.016541,-1.210814,-2.171328
Wat Khun Samut Chin,1996-01-01,25.999664,1011.441589,-0.262578,0.63753
Wat Khun Samut Chin,1996-02-01,26.767975,1011.757812,-0.932987,0.348647
Wat Khun Samut Chin,1996-03-01,28.175934,1009.214661,0.209565,3.699815
Wat Khun Samut Chin,1996-04-01,29.715485,1008.12561,-0.168464,2.83659
Wat Khun Samut Chin,1996-05-01,30.215973,1007.82373,0.707528,1.82649
Wat Khun Samut Chin,1996-06-01,30.798981,1007.76532,0.706536,1.941537
Wat Khun Samut Chin,1996-07-01,30.75943,1006.785339,1.381389,2.825721
Wat Khun Samut Chin,1996-08-01,30.12149,1007.560303,1.432419,1.966509
Wat Khun Samut Chin,1996-09-01,29.759674,1006.425964,0.907079,1.264165
Wat Khun Samut Chin,1996-10-01,29.582184,1009.664368,-0.483903,-0.645545
Wat Khun Samut Chin,1996-11-01,28.717438,1010.067505,-0.62452,-1.039822
Wat Khun Samut Chin,1996-12-01,26.863922,1012.866272,-0.940056,-1.988372
Wat Khun Samut Chin,1997-01-01,26.363678,1012.751587,-0.439878,0.613219
Wat Khun Samut Chin,1997-02-01,27.857819,1010.291565,-0.188783,2.031401
Wat Khun Samut Chin,1997-03-01,29.060455,1011.059082,0.064395,3.123234
Wat Khun Samut Chin,1997-04-01,30.377106,1010.009399,0.087969,2.544433
Wat Khun Samut Chin,1997-05-01,30.761139,1007.386902,1.525149,2.936749
Wat Khun Samut Chin,1997-06-01,30.367828,1007.391235,1.956729,2.724887
Wat Khun Samut Chin,1997-07-01,29.526764,1007.142822,2.578878,2.609984
Wat Khun Samut Chin,1997-08-01,29.140533,1007.46344,2.550073,2.226384
Wat Khun Samut Chin,1997-09-01,29.858307,1010.388428,0.540967,1.023424
Wat Khun Samut Chin,1997-10-01,30.023346,1012.286865,-0.385401,-0.056447
Wat Khun Samut Chin,1997-11-01,29.160797,1012.64502,-0.473373,-0.546149
Wat Khun Samut Chin,1997-12-01,28.655426,1012.97345,-0.936287,-0.445831
Wat Khun Samut Chin,1998-01-01,28.69986,1012.274658,0.077273,1.353927
Wat Khun Samut Chin,1998-02-01,29.24649,1012.181885,0.325315,3.421809
Wat Khun Samut Chin,1998-03-01,29.939117,1010.536255,0.398737,3.766655
Wat Khun Samut Chin,1998-04-01,30.711334,1009.381226,0.095636,3.889729
Wat Khun Samut Chin,1998-05-01,31.234283,1007.651855,0.536596,2.983206
Wat Khun Samut Chin,1998-06-01,30.209869,1006.68689,1.396953,2.503687
Wat Khun Samut Chin,1998-07-01,30.463043,1007.368408,0.843958,2.355999
Wat Khun Samut Chin,1998-08-01,30.521637,1008.235962,0.955566,1.882883
Wat Khun Samut Chin,1998-09-01,30.144196,1007.965027,0.876177,0.852103
Wat Khun Samut Chin,1998-10-01,29.765045,1009.06842,-0.648296,-0.109217
Wat Khun Samut Chin,1998-11-01,28.646393,1009.92627,-0.700062,-1.720835
Wat Khun Samut Chin,1998-12-01,26.864655,1012.241577,-1.293784,-1.897418
Wat Khun Samut Chin,1999-01-01,26.719391,1010.46936,-1.081798,-0.578407
Wat Khun Samut Chin,1999-02-01,28.041901,1012.079346,-0.676869,0.434882
Wat Khun Samut Chin,1999-03-01,28.970367,1006.584717,0.077346,3.03767
Wat Khun Samut Chin,1999-04-01,30.008453,1007.223755,0.166994,1.786855
Wat Khun Samut Chin,1999-05-01,29.803131,1007.656555,0.554916,1.878942
Wat Khun Samut Chin,1999-06-01,29.239655,1006.985291,1.898402,1.887443
Wat Khun Samut Chin,1999-07-01,28.946686,1005.827209,2.265555,2.379333
Wat Khun Samut Chin,1999-08-01,28.420319,1007.816589,1.723126,2.011179
Wat Khun Samut Chin,1999-09-01,29.132721,1007.915283,1.01269,1.308035
Wat Khun Samut Chin,1999-10-01,29.631012,1009.560303,-0.841578,-0.183383
Wat Khun Samut Chin,1999-11-01,28.677399,1010.818726,-0.645315,-1.698647
Wat Khun Samut Chin,1999-12-01,25.975006,1013.45813,-1.1686,-2.94657
Wat Khun Samut Chin,2000-01-01,26.411041,1011.395325,-0.756061,0.187977
Wat Khun Samut Chin,2000-02-01,26.788971,1010.221558,-0.237966,0.958889
Wat Khun Samut Chin,2000-03-01,28.775787,1008.857178,0.009391,2.108432
Wat Khun Samut Chin,2000-04-01,29.851715,1007.787842,-0.261608,2.428964
Wat Khun Samut Chin,2000-05-01,30.123688,1006.950012,1.092024,1.958163
Wat Khun Samut Chin,2000-06-01,29.521393,1006.96814,1.051214,2.045112
Wat Khun Samut Chin,2000-07-01,29.213043,1005.846558,1.796489,1.901946
Wat Khun Samut Chin,2000-08-01,29.453766,1006.440918,2.066244,1.815287
Wat Khun Samut Chin,2000-09-01,29.035553,1008.488098,0.720837,1.169885
Wat Khun Samut Chin,2000-10-01,29.351471,1008.48407,-0.045435,-0.0135
Wat Khun Samut Chin,2000-11-01,28.098785,1010.710327,-1.297951,-2.176075
Wat Khun Samut Chin,2000-12-01,27.801422,1010.845642,-1.263725,-1.922636
Wat Khun Samut Chin,2001-01-01,27.198639,1010.062805,-0.368406,1.028734
Wat Khun Samut Chin,2001-02-01,28.037262,1009.64093,-0.354966,1.657374
Wat Khun Samut Chin,2001-03-01,29.062653,1009.31311,-0.165958,1.165771
Wat Khun Samut Chin,2001-04-01,30.742096,1008.157166,0.14789,3.095243
Wat Khun Samut Chin,2001-05-01,31.093658,1007.048096,1.103029,2.354101
Wat Khun Samut Chin,2001-06-01,30.719147,1006.463745,2.139737,1.594269
Wat Khun Samut Chin,2001-07-01,29.862701,1006.397217,2.046682,2.264387
Wat Khun Samut Chin,2001-08-01,29.78067,1006.476868,2.580021,1.499872
Wat Khun Samut Chin,2001-09-01,30.282867,1008.038757,1.013026,1.148219
Wat Khun Samut Chin,2001-10-01,30.137604,1009.658142,-0.459819,-0.417219
Wat Khun Samut Chin,2001-11-01,28.337555,1012.459045,-1.340285,-1.966153
Wat Khun Samut Chin,2001-12-01,27.008209,1013.75592,-1.189855,-1.587662
Wat Khun Samut Chin,2002-01-01,26.039459,1012.784668,-0.678764,-0.161856
Wat Khun Samut Chin,2002-02-01,27.460602,1012.68158,0.090864,2.563663
Wat Khun Samut Chin,2002-03-01,28.601227,1009.872803,-0.071795,2.845304
Wat Khun Samut Chin,2002-04-01,30.346588,1008.381897,-0.044003,3.106624
Wat Khun Samut Chin,2002-05-01,30.621979,1007.335022,0.802784,2.738206
Wat Khun Samut Chin,2002-06-01,30.264313,1006.798767,1.78886,2.099907
Wat Khun Samut Chin,2002-07-01,30.242828,1006.606262,2.534054,2.397264
Wat Khun Samut Chin,2002-08-01,29.695221,1007.327209,2.374194,1.686562
Wat Khun Samut Chin,2002-09-01,29.67276,1008.553101,1.464422,1.156876
Wat Khun Samut Chin,2002-10-01,30.164215,1010.099365,-0.378529,-0.368622
Wat Khun Samut Chin,2002-11-01,29.452545,1011.515015,-0.603342,-1.345003
Wat Khun Samut Chin,2002-12-01,28.803375,1012.072205,-0.302286,-0.986738
Wat Khun Samut Chin,2003-01-01,27.825592,1013.586853,-0.77578,-0.557899
Wat Khun Samut Chin,2003-02-01,28.108551,1011.528137,-0.229053,1.479773
Wat Khun Samut Chin,2003-03-01,29.583649,1010.591858,-0.136245,1.707678
Wat Khun Samut Chin,2003-04-01,30.825348,1008.598755,0.009269,2.973449
Wat Khun Samut Chin,2003-05-01,31.045563,1006.898438,1.527341,1.866904
Wat Khun Samut Chin,2003-06-01,30.49649,1007.106262,1.5344,1.816727
Wat Khun Samut Chin,2003-07-01,30.517487,1007.663452,1.337418,1.605067
Wat Khun Samut Chin,2003-08-01,29.970123,1006.885925,2.262427,1.708021
Wat Khun Samut Chin,2003-09-01,29.614166,1007.910339,1.362551,1.038922
Wat Khun Samut Chin,2003-10-01,29.470856,1010.357483,-1.09918,-0.658476
Wat Khun Samut Chin,2003-11-01,29.158356,1011.281555,-0.904303,-1.027328
Wat Khun Samut Chin,2003-12-01,26.773834,1013.627197,-1.570067,-2.099963
Wat Khun Samut Chin,2004-01-01,26.711334,1012.200928,-0.492506,0.17387
Wat Khun Samut Chin,2004-02-01,27.352692,1011.70874,-0.315662,1.669367
Wat Khun Samut Chin,2004-03-01,28.778717,1009.611572,-0.061893,3.045939
Wat Khun Samut Chin,2004-04-01,30.77359,1008.357483,0.04667,3.446636
Wat Khun Samut Chin,2004-05-01,30.91153,1007.34906,0.88345,2.179727
Wat Khun Samut Chin,2004-06-01,30.608307,1007.220947,1.79169,1.792515
Wat Khun Samut Chin,2004-07-01,30.55899,1007.085022,1.555032,1.463651
Wat Khun Samut Chin,2004-08-01,29.898346,1006.883423,2.35827,1.919088
Wat Khun Samut Chin,2004-09-01,30.274078,1009.498413,0.431454,0.967682
Wat Khun Samut Chin,2004-10-01,29.974762,1011.744995,-1.438089,-0.930159
Wat Khun Samut Chin,2004-11-01,29.229889,1011.821533,-1.384635,-1.221018
Wat Khun Samut Chin,2004-12-01,26.983307,1012.510925,-1.195981,-1.641825
Wat Khun Samut Chin,2005-01-01,26.726471,1012.171875,-0.393292,1.104795
Wat Khun Samut Chin,2005-02-01,28.347076,1011.40033,0.217493,3.756927
Wat Khun Samut Chin,2005-03-01,28.600739,1011.448425,-0.175133,2.720837
Wat Khun Samut Chin,2005-04-01,30.183014,1010.264404,-0.07519,2.614717
Wat Khun Samut Chin,2005-05-01,30.642487,1006.803101,0.702131,2.773735
Wat Khun Samut Chin,2005-06-01,29.920807,1005.815308,1.841193,3.097665
Wat Khun Samut Chin,2005-07-01,29.854401,1007.252502,2.116751,1.941625
Wat Khun Samut Chin,2005-08-01,29.256989,1007.071899,1.965647,2.077087
Wat Khun Samut Chin,2005-09-01,29.641998,1008.047791,1.144488,1.368593
Wat Khun Samut Chin,2005-10-01,29.664459,1010.408142,-0.823948,-0.987945
Wat Khun Samut Chin,2005-11-01,28.893707,1011.039978,-0.587385,-1.035192
Wat Khun Samut Chin,2005-12-01,26.824371,1012.222168,-1.37391,-1.966703
Wat Khun Samut Chin,2006-01-01,26.617828,1011.487488,-0.624363,0.107148
Wat Khun Samut Chin,2006-02-01,28.131744,1011.448425,-0.412078,0.567896
Wat Khun Samut Chin,2006-03-01,29.395905,1009.441223,0.076053,2.946536
Wat Khun Samut Chin,2006-04-01,30.569733,1008.561584,-0.072705,2.84251
Wat Khun Samut Chin,2006-05-01,31.079742,1008.15564,0.357647,2.136793
Wat Khun Samut Chin,2006-06-01,30.568756,1007.143433,1.180988,1.702782
Wat Khun Samut Chin,2006-07-01,29.685944,1006.731262,2.338775,2.286887
Wat Khun Samut Chin,2006-08-01,29.378326,1006.727783,2.880692,1.568345
Wat Khun Samut Chin,2006-09-01,30.266266,1008.662842,0.922195,0.81715
Wat Khun Samut Chin,2006-10-01,29.843414,1010.767822,-0.165543,-0.164336
Wat Khun Samut Chin,2006-11-01,29.619537,1010.582214,-0.604156,-0.200068
Wat Khun Samut Chin,2006-12-01,28.302887,1012.555603,-1.141463,-2.062572
Wat Khun Samut Chin,2007-01-01,26.553619,1013.252197,-1.063036,-1.069305
Wat Khun Samut Chin,2007-02-01,27.247711,1011.574036,0.053685,2.495297
Wat Khun Samut Chin,2007-03-01,29.215729,1009.27002,-0.090573,3.634336
Wat Khun Samut Chin,2007-04-01,30.582672,1009.520325,-0.245207,2.390013
Wat Khun Samut Chin,2007-05-01,30.589264,1007.656555,0.549741,1.690538
Wat Khun Samut Chin,2007-06-01,31.048737,1005.925964,0.836753,1.932116
Wat Khun Samut Chin,2007-07-01,30.516754,1006.999084,1.73114,1.795755
Wat Khun Samut Chin,2007-08-01,29.862213,1006.203125,2.280272,1.581052
Wat Khun Samut Chin,2007-09-01,29.288971,1007.114685,1.365097,1.287846
Wat Khun Samut Chin,2007-10-01,28.835846,1009.17218,-0.200074,-0.681332
Wat Khun Samut Chin,2007-11-01,27.827301,1011.30127,-1.835744,-1.945706
Wat Khun Samut Chin,2007-12-01,26.74234,1010.694702,-1.038331,-0.846472
Wat Khun Samut Chin,2008-01-01,26.992096,1011.344055,-0.753417,-0.035506
Wat Khun Samut Chin,2008-02-01,27.821442,1011.571899,-0.97092,0.671607
Wat Khun Samut Chin,2008-03-01,28.481598,1009.483765,-0.327369,2.354748
Wat Khun Samut Chin,2008-04-01,30.068024,1007.89502,-0.093721,2.434757
Wat Khun Samut Chin,2008-05-01,30.167389,1006.482178,1.64231,2.016626
Wat Khun Samut Chin,2008-06-01,29.807281,1006.91217,1.746142,2.177225
Wat Khun Samut Chin,2008-07-01,29.245026,1006.834717,1.954086,2.142943
Wat Khun Samut Chin,2008-08-01,29.460602,1006.997803,1.806962,1.757842
Wat Khun Samut Chin,2008-09-01,29.400787,1007.57312,1.933426,0.936961
Wat Khun Samut Chin,2008-10-01,29.771149,1009.413452,-0.63121,-0.38813
Wat Khun Samut Chin,2008-11-01,28.489166,1011.113464,-1.266973,-2.149495
Wat Khun Samut Chin,2008-12-01,25.923492,1012.31189,-1.23451,-2.249523
Wat Khun Samut Chin,2009-01-01,25.553864,1013.679077,-0.924319,-1.125131
Wat Khun Samut Chin,2009-02-01,27.74649,1009.59375,0.187116,2.107128
Wat Khun Samut Chin,2009-03-01,29.312408,1009.60498,-0.112256,2.356505
Wat Khun Samut Chin,2009-04-01,30.420563,1007.919678,0.858939,1.147453
Wat Khun Samut Chin,2009-05-01,30.735016,1006.786865,0.240504,1.601558
Wat Khun Samut Chin,2009-06-01,29.773102,1006.613464,2.193566,2.694443
Wat Khun Samut Chin,2009-07-01,29.615631,1006.77002,2.62513,1.61807
Wat Khun Samut Chin,2009-08-01,29.810944,1006.795654,1.711019,1.410511
Wat Khun Samut Chin,2009-09-01,29.838287,1007.369995,1.958155,0.753562
Wat Khun Samut Chin,2009-10-01,29.389069,1009.139038,0.052591,0.013174
Wat Khun Samut Chin,2009-11-01,28.761139,1011.182495,-0.88579,-1.364381
Wat Khun Samut Chin,2009-12-01,27.698639,1012.019043,-0.830603,-0.35958
Wat Khun Samut Chin,2010-01-01,28.09317,1012.48999,-0.589547,0.250063
Wat Khun Samut Chin,2010-02-01,28.713776,1010.925964,0.429204,3.6229
Wat Khun Samut Chin,2010-03-01,29.441315,1010.552185,-0.224469,2.63026
Wat Khun Samut Chin,2010-04-01,30.594391,1009.199036,0.07964,3.63035
Wat Khun Samut Chin,2010-05-01,30.998932,1006.608459,0.566813,2.904993
Wat Khun Samut Chin,2010-06-01,30.378571,1006.91156,1.252357,2.267823
Wat Khun Samut Chin,2010-07-01,29.960602,1007.126587,1.050468,2.166739
Wat Khun Samut Chin,2010-08-01,29.490631,1007.341248,1.313703,1.786039
Wat Khun Samut Chin,2010-09-01,29.819977,1008.10907,0.496701,1.081721
Wat Khun Samut Chin,2010-10-01,29.155426,1008.421265,0.074761,-0.57756
Wat Khun Samut Chin,2010-11-01,28.086578,1010.352783,-1.035814,-2.10088
Wat Khun Samut Chin,2010-12-01,27.519928,1009.35907,-0.537859,-0.734151
Wat Khun Samut Chin,2011-01-01,26.675201,1011.206543,-1.541523,-1.561999
Wat Khun Samut Chin,2011-02-01,27.656891,1009.961243,0.02719,2.031651
Wat Khun Samut Chin,2011-03-01,28.80899,1010.443726,-0.341331,-0.495627
Wat Khun Samut Chin,2011-04-01,29.006989,1009.397522,-0.081749,2.064352
Wat Khun Samut Chin,2011-05-01,30.485748,1007.344666,0.66303,1.926092
Wat Khun Samut Chin,2011-06-01,29.832916,1006.3172,1.680776,2.370627
Wat Khun Samut Chin,2011-07-01,29.088043,1006.42627,1.970095,2.103767
Wat Khun Samut Chin,2011-08-01,29.633942,1007.262512,1.857534,1.406805
Wat Khun Samut Chin,2011-09-01,29.194733,1007.299988,2.162916,1.336365
Wat Khun Samut Chin,2011-10-01,28.962799,1009.429382,-0.318006,-0.733777
Wat Khun Samut Chin,2011-11-01,28.951324,1010.125,-0.701862,-2.097491
Wat Khun Samut Chin,2011-12-01,26.777008,1012.10437,-1.639492,-2.331754
Wat Khun Samut Chin,2012-01-01,27.140533,1010.909973,-0.398141,0.305806
Wat Khun Samut Chin,2012-02-01,28.531158,1009.290283,0.049436,2.094359
Wat Khun Samut Chin,2012-03-01,29.633453,1009.022217,-0.120443,2.217162
Wat Khun Samut Chin,2012-04-01,30.42276,1008.344055,0.272047,2.509836
Wat Khun Samut Chin,2012-05-01,30.352692,1005.778137,1.473748,2.263956
Wat Khun Samut Chin,2012-06-01,29.550446,1005.909668,2.595743,2.432174
Wat Khun Samut Chin,2012-07-01,29.117584,1006.520935,2.113999,1.987365
Wat Khun Samut Chin,2012-08-01,29.004791,1007.27124,2.672086,1.543462
Wat Khun Samut Chin,2012-09-01,29.121979,1008.264404,1.285188,0.501737
Wat Khun Samut Chin,2012-10-01,30.223297,1010.03064,-0.171529,-0.433546
Wat Khun Samut Chin,2012-11-01,29.483307,1010.112183,-0.125428,-0.048304
Wat Khun Samut Chin,2012-12-01,29.274567,1010.535339,-0.47659,-0.707026
Wat Khun Samut Chin,2013-01-01,28.045563,1012.299377,-0.491351,0.161989
Wat Khun Samut Chin,2013-02-01,28.667633,1010.645935,-0.00933,0.845824
Wat Khun Samut Chin,2013-03-01,29.562897,1010.19281,-0.002898,2.825619
Wat Khun Samut Chin,2013-04-01,30.550934,1007.875,0.174913,2.573259
Wat Khun Samut Chin,2013-05-01,30.962311,1007.143127,0.698078,2.201675
Wat Khun Samut Chin,2013-06-01,30.183014,1005.696899,1.426842,1.729108
Wat Khun Samut Chin,2013-07-01,29.450836,1006.449036,2.097001,1.680508
Wat Khun Samut Chin,2013-08-01,29.190582,1007.065002,2.037812,1.773818
Wat Khun Samut Chin,2013-09-01,29.305817,1007.762512,1.322159,1.226873
Wat Khun Samut Chin,2013-10-01,29.254303,1010.492798,-0.317263,-0.616937
Wat Khun Samut Chin,2013-11-01,28.696686,1010.726562,-1.077828,-1.574634
Wat Khun Samut Chin,2013-12-01,26.663971,1012.842529,-1.034116,-1.810918
Wat Khun Samut Chin,2014-01-01,25.55484,1014.265625,-1.000783,-1.015583
Wat Khun Samut Chin,2014-02-01,26.94278,1010.960022,0.155309,2.943138
Wat Khun Samut Chin,2014-03-01,28.741852,1010.882812,0.326848,3.404697
Wat Khun Samut Chin,2014-04-01,30.343658,1009.065308,-0.07665,3.015714
Wat Khun Samut Chin,2014-05-01,31.188385,1007.917786,0.874773,1.939872
Wat Khun Samut Chin,2014-06-01,30.616119,1005.68811,1.894881,2.842391
Wat Khun Samut Chin,2014-07-01,29.994293,1006.72406,2.21087,2.287146
Wat Khun Samut Chin,2014-08-01,29.702057,1008.206238,1.324713,1.872358
Wat Khun Samut Chin,2014-09-01,29.525299,1008.584045,1.383911,1.343908
Wat Khun Samut Chin,2014-10-01,29.641754,1010.639038,-0.683267,-0.713645
Wat Khun Samut Chin,2014-11-01,29.588287,1010.975342,-0.621263,-0.988448
Wat Khun Samut Chin,2014-12-01,27.879059,1012.669678,-1.537423,-2.036469
Wat Khun Samut Chin,2015-01-01,26.308746,1013.532471,-0.194965,-0.504129
Wat Khun Samut Chin,2015-02-01,27.588531,1012.37561,-0.46489,1.891833
Wat Khun Samut Chin,2015-03-01,29.079254,1011.501892,0.070784,3.097044
Wat Khun Samut Chin,2015-04-01,30.289459,1009.76001,0.000937,1.976302
Wat Khun Samut Chin,2015-05-01,30.609772,1007.939392,1.052837,2.840309
Wat Khun Samut Chin,2015-06-01,30.620758,1007.570312,1.616976,2.158687
Wat Khun Samut Chin,2015-07-01,29.879547,1007.346252,2.308956,2.594148
Wat Khun Samut Chin,2015-08-01,29.621979,1007.946899,2.111737,1.725224
Wat Khun Samut Chin,2015-09-01,29.558014,1008.833435,1.53525,0.9527
Wat Khun Samut Chin,2015-10-01,29.868561,1011.447815,-0.377055,-0.022101
Wat Khun Samut Chin,2015-11-01,30.008698,1011.215027,-0.907526,-0.892137
Wat Khun Samut Chin,2015-12-01,29.007477,1013.140015,-0.612833,-0.953315
Wat Khun Samut Chin,2016-01-01,28.464996,1013.069092,-0.043266,0.860457
Wat Khun Samut Chin,2016-02-01,27.613678,1013.826233,-1.150507,0.199327
Wat Khun Samut Chin,2016-03-01,28.977692,1011.34845,-0.000742,3.365392
Wat Khun Samut Chin,2016-04-01,30.475006,1008.632202,0.424283,4.099934
Wat Khun Samut Chin,2016-05-01,31.235016,1007.501587,0.845737,3.031966
Wat Khun Samut Chin,2016-06-01,30.536041,1007.996582,1.458472,2.287845
Wat Khun Samut Chin,2016-07-01,29.861481,1007.742188,1.279512,1.974963
Wat Khun Samut Chin,2016-08-01,29.883698,1006.141235,2.477569,1.87226
Wat Khun Samut Chin,2016-09-01,29.558746,1007.564697,1.509232,0.815912
Wat Khun Samut Chin,2016-10-01,29.492828,1008.242493,0.501555,-0.117682
Wat Khun Samut Chin,2016-11-01,29.479401,1010.600647,-0.900703,-1.234416
Wat Khun Samut Chin,2016-12-01,28.005768,1011.704712,-1.073663,-2.289066
Wat Khun Samut Chin,2017-01-01,27.46402,1011.575928,-0.774795,-1.285966
Wat Khun Samut Chin,2017-02-01,27.831207,1012.322205,-0.582879,0.161691
Wat Khun Samut Chin,2017-03-01,29.410553,1010.170959,-0.157959,2.900023
Wat Khun Samut Chin,2017-04-01,30.372955,1009.407471,-0.008005,2.263185
Wat Khun Samut Chin,2017-05-01,30.942047,1007.812805,-0.098503,2.142217
Wat Khun Samut Chin,2017-06-01,30.520416,1007.460327,1.596006,1.852422
Wat Khun Samut Chin,2017-07-01,29.721832,1007.419373,2.272928,1.740026
Wat Khun Samut Chin,2017-08-01,29.866119,1007.159058,1.695226,1.765744
Wat Khun Samut Chin,2017-09-01,30.438141,1008.249084,0.832269,1.265251
Wat Khun Samut Chin,2017-10-01,30.068512,1009.39032,-0.034059,-0.394503
Wat Khun Samut Chin,2017-11-01,28.727936,1010.086548,-0.776046,-1.918211
Wat Khun Samut Chin,2017-12-01,27.23111,1012.697205,-1.046162,-1.969519
Wat Khun Samut Chin,2018-01-01,26.946442,1010.41626,-0.138195,0.010306
Wat Khun Samut Chin,2018-02-01,27.72403,1012.299377,-0.588433,1.027674
Wat Khun Samut Chin,2018-03-01,29.325836,1010.173462,-0.202275,2.363779
Wat Khun Samut Chin,2018-04-01,30.064606,1009.630615,-0.238952,1.840009
Wat Khun Samut Chin,2018-05-01,30.745758,1008.910339,-0.141664,1.878361
Wat Khun Samut Chin,2018-06-01,30.548981,1007.148438,2.090961,2.39092
Wat Khun Samut Chin,2018-07-01,29.812408,1005.86438,2.872589,2.041429
Wat Khun Samut Chin,2018-08-01,29.379791,1006.464661,2.511841,2.406536
Wat Khun Samut Chin,2018-09-01,29.518463,1008.443115,1.093544,0.771399
Wat Khun Samut Chin,2018-10-01,30.012848,1011.215332,-0.874852,-0.168989
Wat Khun Samut Chin,2018-11-01,29.320465,1011.544678,-0.427294,-1.213971
Wat Khun Samut Chin,2018-12-01,28.815094,1011.866272,-0.590555,-1.406783
Wat Khun Samut Chin,2019-01-01,27.895905,1013.085938,-0.535153,-0.824648
Wat Khun Samut Chin,2019-02-01,28.61734,1012.431274,0.501925,3.214181
Wat Khun Samut Chin,2019-03-01,29.456696,1010.536865,0.160469,3.6302
Wat Khun Samut Chin,2019-04-01,30.979401,1008.757202,0.144719,3.572072
Wat Khun Samut Chin,2019-05-01,31.279938,1007.366577,1.262279,1.804683
Wat Khun Samut Chin,2019-06-01,30.55899,1007.169983,1.419268,2.244474
Wat Khun Samut Chin,2019-07-01,30.142487,1007.628418,2.354134,1.615926
Wat Khun Samut Chin,2019-08-01,29.627106,1006.668152,2.722033,2.166452
Wat Khun Samut Chin,2019-09-01,29.589508,1009.83252,0.941286,0.30259
Wat Khun Samut Chin,2019-10-01,30.31192,1010.463745,-0.792423,-0.106138
Wat Khun Samut Chin,2019-11-01,29.244049,1011.330322,-1.246714,-1.196093
Wat Khun Samut Chin,2019-12-01,27.285065,1013.300598,-1.157376,-1.00902
Wat Khun Samut Chin,2020-01-01,28.457428,1011.982178,-0.157011,1.203767
Wat Khun Samut Chin,2020-02-01,28.348785,1012.953125,-0.627525,1.407457
Wat Khun Samut Chin,2020-03-01,29.300201,1010.29657,0.235236,3.925468
Wat Khun Samut Chin,2020-04-01,30.501373,1010.613464,-0.013751,2.796062
Wat Khun Samut Chin,2020-05-01,31.337067,1008.278748,0.496251,2.881651
Wat Khun Samut Chin,2020-06-01,30.997711,1007.591553,1.171954,2.276122
Wat Khun Samut Chin,2020-07-01,30.592194,1007.382507,0.929736,1.794445
Wat Khun Samut Chin,2020-08-01,29.955231,1006.886902,1.691019,2.027811
Wat Khun Samut Chin,2020-09-01,29.961334,1007.811584,0.890321,1.704424
Wat Khun Samut Chin,2020-10-01,29.276276,1008.302795,0.078307,-1.123652
